"","project_id","week","day","hour","num_authors"
"3234",22053770,0,1,4,1
"3235",303615,0,5,21,1
"3236",6448915,0,3,11,1
"3237",15179097,0,2,12,1
"3238",31822207,0,1,0,1
"3239",21483441,0,1,4,1
"3240",12485692,0,4,19,1
"3241",79255,0,3,19,1
"3242",27712196,0,2,6,1
"3243",7173090,0,2,18,1
"3244",423040,0,4,2,1
"3245",904848,0,5,5,1
"3246",7314145,0,4,23,1
"3247",5063209,0,3,17,1
"3248",29221794,0,1,4,2
"3249",6362810,0,1,10,1
"3250",16971414,0,2,9,1
"3251",3006363,0,1,17,1
"3252",4325780,0,4,21,1
"3253",13559341,0,2,23,1
"3254",7309617,0,4,3,1
"3255",10390951,0,1,19,1
"3256",53479,0,4,13,1
"3257",1934072,0,1,7,1
"3258",7117016,0,4,19,1
"3259",2831,0,1,0,1
"3260",30421223,0,1,15,1
"3261",7054122,0,2,4,1
"3262",29233118,0,1,8,1
"3263",13463346,0,1,13,1
"3264",7043244,0,3,4,1
"3265",22089630,0,2,13,1
"3266",10791059,0,1,21,1
"3267",1962341,0,1,14,1
"3268",14282467,0,3,7,1
"3269",14957589,0,2,21,1
"3270",10305686,0,2,14,1
"3271",30176394,0,2,19,1
"3272",14686304,0,2,20,1
"3273",11427792,0,3,14,1
"3274",7137217,0,2,23,1
"3275",27211694,0,1,9,1
"3276",24925542,0,1,15,1
"3277",30414240,0,2,2,1
"3278",27767429,0,2,16,1
"3279",6812126,0,3,21,1
"3280",839895,0,2,18,1
"3281",4661704,0,2,1,1
"3282",14674782,0,2,12,1
"3283",9555556,0,2,14,1
"3284",6354154,0,1,10,1
"3285",11892104,0,1,1,1
"3286",7304036,0,3,15,1
"3287",1964606,0,2,0,2
"3288",30362981,0,2,22,1
"3289",25810114,0,1,8,1
"3290",30437367,0,2,18,1
"3291",30411300,0,1,5,1
"3292",1917879,53,30,7,1
"3293",2545485,0,1,18,1
"3294",12505258,0,3,15,1
"3295",1953581,53,31,0,1
"3296",66708,0,4,18,1
"3297",14693259,0,3,9,1
"3298",11315386,0,2,17,1
"3299",9863089,0,1,16,1
"3300",12819383,0,1,7,1
"3301",1960866,0,4,13,1
"3302",3597587,53,31,21,1
"3303",7201487,0,3,15,1
"3304",4207418,0,1,14,1
"3305",30222629,0,1,9,1
"3306",8844607,0,1,16,1
"3307",14664379,0,1,23,1
"3308",12517335,53,30,10,1
"3309",1955984,0,5,10,1
"3310",14409836,0,3,19,1
"3311",30266017,0,1,16,1
"3312",14552789,0,2,16,1
"3313",37518,0,5,20,1
"3314",14096006,0,2,2,1
"3315",7206112,0,4,17,1
"3316",13459258,0,3,14,1
"3317",1882075,0,3,0,1
"3318",30434131,0,2,7,1
"3319",7459343,0,2,21,1
"3320",13761100,0,2,19,1
"3321",5914188,0,3,13,1
"3322",7146222,0,2,12,1
"3323",5511926,0,2,17,1
"3324",14644683,0,1,16,1
"3325",7091465,0,2,12,1
"3326",4585463,0,3,23,1
"3327",10313229,0,2,7,1
"3328",14656674,0,1,14,1
"3329",30445352,0,2,19,1
